,x,ukf_['x'],y,ukf_['y'],z,ukf_['z'],rmse,ukf_rmse,past_temporal_horizon,future_temporal_horizon
14,0.71607405,0.8160410815439735,1.4288062,1.5346409920000827,1.8351258,1.250217769778323,1.3266687,1.2002999477741263,3.0,0.3
11,0.8165548,0.8160410815439735,1.4018885,1.5346409920000827,2.0971367,1.250217769778323,1.4385267,1.2002999477741263,2.0,0.4
10,0.6980639,0.8160410815439735,1.6689245,1.5346409920000827,1.9731289,1.250217769778323,1.4467058,1.2002999477741263,2.0,0.3
9,0.6482339,0.8160410815439735,1.644185,1.5346409920000827,2.1667135,1.250217769778323,1.4863774,1.2002999477741263,2.0,0.2
15,0.7848261,0.8160410815439735,1.5325627,1.5346409920000827,2.162581,1.250217769778323,1.4933233,1.2002999477741263,3.0,0.4
13,0.6384303,0.8160410815439735,1.7568606,1.5346409920000827,2.2451973,1.250217769778323,1.5468293,1.2002999477741263,3.0,0.2
6,0.67442113,0.8160410815439735,1.6322001,1.5346409920000827,2.3441882,1.250217769778323,1.5502697,1.2002999477741263,1.0,0.3
2,0.7341135,0.8160410815439735,1.6881496,1.5346409920000827,2.2354574,1.250217769778323,1.5525736,1.2002999477741263,0.5,0.3
7,0.7530466,0.8160410815439735,1.5101832,1.5346409920000827,2.5129867,1.250217769778323,1.5920721,1.2002999477741263,1.0,0.4
1,0.6942788,0.8160410815439735,1.8671273,1.5346409920000827,2.2421017,1.250217769778323,1.6011692,1.2002999477741263,0.5,0.2
5,0.6402422,0.8160410815439735,1.7777317,1.5346409920000827,2.5469542,1.250217769778323,1.654976,1.2002999477741263,1.0,0.2
3,0.76145226,0.8160410815439735,1.5566257,1.5346409920000827,2.838626,1.250217769778323,1.7189013,1.2002999477741263,0.5,0.4
4,0.7601,0.8160410815439735,1.5364327,1.5346409920000827,3.6727755,1.250217769778323,1.9897693,1.2002999477741263,1.0,0.1
12,0.8818805,0.8160410815439735,1.1799774,1.5346409920000827,4.165018,1.250217769778323,2.0756254,1.2002999477741263,3.0,0.1
0,0.8074489,0.8160410815439735,1.5869823,1.5346409920000827,3.8905985,1.250217769778323,2.0950098,1.2002999477741263,0.5,0.1
8,0.906867,0.8160410815439735,1.3505583,1.5346409920000827,5.0109134,1.250217769778323,2.4227796,1.2002999477741263,2.0,0.1
