,x,x_,ukf_['x'],y,y_,ukf_['y'],z,z_,ukf_['z'],rmse,mape,ukf_rmse,past_temporal_horizon,future_temporal_horizon
10,0.7870026,0.41013354,0.9846825505297501,1.5614082,0.5566669,1.8527055786887423,1.8524079,0.06475236,1.5195543509708567,1.400273,0.34385094,1.4523141600631166,2.0,0.3
14,0.8010971,0.30052498,0.9846825505297501,1.5878277,0.524202,1.8527055786887423,2.0719767,0.07777807,1.5195543509708567,1.4869671,0.300835,1.4523141600631166,3.0,0.3
11,0.83243555,0.56256557,0.9846825505297501,1.5135311,0.54564726,1.8527055786887423,2.1431077,0.08277501,1.5195543509708567,1.496358,0.39699593,1.4523141600631166,2.0,0.4
9,0.6359761,0.3387327,0.9846825505297501,1.8651901,0.63064593,1.8527055786887423,2.1417809,0.063895054,1.5195543509708567,1.547649,0.34442458,1.4523141600631166,2.0,0.2
13,0.7017034,0.40640476,0.9846825505297501,1.8159484,0.56856084,1.8527055786887423,2.1778445,0.07284798,1.5195543509708567,1.5651655,0.34927118,1.4523141600631166,3.0,0.2
6,0.7328056,0.3854566,0.9846825505297501,1.7101363,0.6406429,1.8527055786887423,2.3339803,0.09061397,1.5195543509708567,1.5923074,0.3722378,1.4523141600631166,1.0,0.3
15,0.82901376,0.48936132,0.9846825505297501,1.7051915,0.6977839,1.8527055786887423,2.3157873,0.08698332,1.5195543509708567,1.6166643,0.42470953,1.4523141600631166,3.0,0.4
1,0.82594067,0.35407713,0.9846825505297501,2.0177667,0.73025113,1.8527055786887423,2.0896578,0.06531758,1.5195543509708567,1.644455,0.3832153,1.4523141600631166,0.5,0.2
2,0.84905696,0.33556652,0.9846825505297501,1.8090726,0.7550431,1.8527055786887423,2.434045,0.09262342,1.5195543509708567,1.6973915,0.394411,1.4523141600631166,0.5,0.3
7,0.9059051,0.5230978,0.9846825505297501,1.6129279,0.6746633,1.8527055786887423,2.7732744,0.10956729,1.5195543509708567,1.7640358,0.4357761,1.4523141600631166,1.0,0.4
5,0.67650515,0.3741348,0.9846825505297501,2.0330408,0.8076551,1.8527055786887423,2.6253626,0.08489191,1.5195543509708567,1.7783028,0.42222726,1.4523141600631166,1.0,0.2
3,0.95355684,0.4115728,0.9846825505297501,1.8622551,0.85065943,1.8527055786887423,3.213254,0.12797402,1.5195543509708567,2.0096886,0.46340212,1.4523141600631166,0.5,0.4
0,0.94105244,0.31873047,0.9846825505297501,1.630959,0.66147834,1.8527055786887423,4.205387,0.1790253,1.5195543509708567,2.2591329,0.3864114,1.4523141600631166,0.5,0.1
8,1.005742,0.2872505,0.9846825505297501,1.5911893,0.47081125,1.8527055786887423,5.797739,0.25709286,1.5195543509708567,2.7982235,0.33838487,1.4523141600631166,2.0,0.1
4,1.0805869,0.33714715,0.9846825505297501,1.5930488,0.6239939,1.8527055786887423,6.064409,0.2682326,1.5195543509708567,2.9126816,0.4097912,1.4523141600631166,1.0,0.1
12,1.0099792,0.39060736,0.9846825505297501,1.769524,0.5547462,1.8527055786887423,6.490234,0.29141018,1.5195543509708567,3.0899124,0.41225457,1.4523141600631166,3.0,0.1
