,x,x_,ukf_['x'],y,y_,ukf_['y'],z,z_,ukf_['z'],rmse,mape,ukf_rmse,past_temporal_horizon,future_temporal_horizon
14,0.9319857,0.41699934,1.182392636688104,1.7030052,0.6808026,2.257322769268387,2.282204,0.0839129,1.8535207131260616,1.6390649,0.39390492,1.7644120396941843,3.0,0.3
10,0.89381117,0.36253133,1.182392636688104,1.7467159,0.72287166,2.257322769268387,2.3270264,0.085208885,1.8535207131260616,1.655851,0.39020395,1.7644120396941843,2.0,0.3
15,1.0451722,0.61599916,1.182392636688104,1.6639771,0.7015869,2.257322769268387,2.45097,0.09500819,1.8535207131260616,1.7200397,0.47086474,1.7644120396941843,3.0,0.4
11,1.0068552,0.57142216,1.182392636688104,1.7327746,0.66795135,2.257322769268387,2.483122,0.098529406,1.8535207131260616,1.7409172,0.44596764,1.7644120396941843,2.0,0.4
6,0.96107864,0.564559,1.182392636688104,1.8000445,0.79662323,2.257322769268387,2.5291502,0.09849859,1.8535207131260616,1.7634245,0.48656026,1.7644120396941843,1.0,0.3
5,0.8369963,0.54613644,1.182392636688104,2.0307417,0.8779102,2.257322769268387,2.465068,0.079244934,1.8535207131260616,1.7776021,0.5010972,1.7644120396941843,1.0,0.2
13,0.78676534,0.43725932,1.182392636688104,1.9959521,0.74419314,2.257322769268387,2.594126,0.0896387,1.8535207131260616,1.7922812,0.42369708,1.7644120396941843,3.0,0.2
9,0.7869367,0.36556816,1.182392636688104,1.9492772,0.8541698,2.257322769268387,2.6554203,0.09205583,1.8535207131260616,1.7972113,0.4372646,1.7644120396941843,2.0,0.2
1,0.98086435,0.70294595,1.182392636688104,2.1337988,1.0414399,2.257322769268387,2.8279576,0.10304498,1.8535207131260616,1.9808736,0.6158103,1.7644120396941843,0.5,0.2
2,1.0367837,0.73463744,1.182392636688104,2.1244164,1.0054778,2.257322769268387,2.8154578,0.112920016,1.8535207131260616,1.9922193,0.6176784,1.7644120396941843,0.5,0.3
7,1.0055306,0.5204192,1.182392636688104,1.8836474,1.045868,2.257322769268387,3.191434,0.12930773,1.8535207131260616,2.0268707,0.56519836,1.7644120396941843,1.0,0.4
3,1.0589706,0.7308522,1.182392636688104,2.1008437,1.2326471,2.257322769268387,3.9279864,0.15951182,1.8535207131260616,2.3626003,0.7076704,1.7644120396941843,0.5,0.4
8,1.0350027,0.3126519,1.182392636688104,1.5642273,0.6290114,2.257322769268387,5.098769,0.21751785,1.8535207131260616,2.5659997,0.3863937,1.7644120396941843,2.0,0.1
12,1.0710447,0.35083535,1.182392636688104,1.4648315,0.5715115,2.257322769268387,5.2389293,0.22420034,1.8535207131260616,2.5916018,0.3821824,1.7644120396941843,3.0,0.1
4,1.0705417,0.48425856,1.182392636688104,1.6267917,0.63894194,2.257322769268387,5.099075,0.22143473,1.8535207131260616,2.5988028,0.44821176,1.7644120396941843,1.0,0.1
0,1.2164563,0.60246235,1.182392636688104,1.7905408,0.76224035,2.257322769268387,5.5060697,0.24392405,1.8535207131260616,2.8376892,0.5362089,1.7644120396941843,0.5,0.1
