,x,x_,ukf_['x'],y,y_,ukf_['y'],rmse,mape,ukf_rmse,past_temporal_horizon,future_temporal_horizon
22,0.052814186,0.16194524,0.07755198413373819,0.037291728,0.119855955,0.0677041834525928,0.045052957,0.1409006,0.07262808379316549,5.0,0.3
19,0.052692298,0.15336727,0.07755198413373819,0.039391752,0.16787863,0.0677041834525928,0.046042025,0.16062295,0.07262808379316549,4.0,0.4
23,0.054182984,0.1756003,0.07755198413373819,0.03886957,0.13200356,0.0677041834525928,0.046526276,0.15380193,0.07262808379316549,5.0,0.4
21,0.05171205,0.21912657,0.07755198413373819,0.043792263,0.1688005,0.0677041834525928,0.047752157,0.19396353,0.07262808379316549,5.0,0.2
18,0.054240588,0.2532978,0.07755198413373819,0.041873727,0.21708621,0.0677041834525928,0.048057158,0.235192,0.07262808379316549,4.0,0.3
17,0.05689149,0.19664931,0.07755198413373819,0.047915306,0.2149213,0.0677041834525928,0.052403398,0.2057853,0.07262808379316549,4.0,0.2
16,0.056969084,0.22246651,0.07755198413373819,0.056714132,0.34039125,0.0677041834525928,0.056841608,0.28142887,0.07262808379316549,4.0,0.1
14,0.06897533,0.29835972,0.07755198413373819,0.045728263,0.31268933,0.0677041834525928,0.057351798,0.30552453,0.07262808379316549,3.0,0.3
15,0.07055466,0.27385804,0.07755198413373819,0.047794398,0.23957358,0.0677041834525928,0.05917453,0.2567158,0.07262808379316549,3.0,0.4
20,0.053974185,0.19611996,0.07755198413373819,0.071979515,0.20360938,0.0677041834525928,0.06297685,0.19986467,0.07262808379316549,5.0,0.1
13,0.075199135,0.2598493,0.07755198413373819,0.062071096,0.278875,0.0677041834525928,0.06863511,0.26936215,0.07262808379316549,3.0,0.2
11,0.07531354,0.21311115,0.07755198413373819,0.07270575,0.40759322,0.0677041834525928,0.07400964,0.31035218,0.07262808379316549,2.0,0.4
10,0.07453486,0.2706464,0.07755198413373819,0.07470628,0.32505944,0.0677041834525928,0.074620575,0.29785293,0.07262808379316549,2.0,0.3
12,0.06809824,0.23278527,0.07755198413373819,0.082356974,0.6622679,0.0677041834525928,0.0752276,0.4475266,0.07262808379316549,3.0,0.1
9,0.07699145,0.21495233,0.07755198413373819,0.081789434,0.43224153,0.0677041834525928,0.07939044,0.32359692,0.07262808379316549,2.0,0.2
8,0.07862901,0.2361041,0.07755198413373819,0.09167068,0.49971753,0.0677041834525928,0.08514984,0.3679108,0.07262808379316549,2.0,0.1
5,0.09313388,0.260536,0.07755198413373819,0.12379344,0.9697025,0.0677041834525928,0.10846366,0.6151192,0.07262808379316549,1.0,0.2
6,0.094544895,0.22634004,0.07755198413373819,0.14149213,1.1408159,0.0677041834525928,0.11801851,0.68357795,0.07262808379316549,1.0,0.3
4,0.0932512,0.24205285,0.07755198413373819,0.15195243,1.1648537,0.0677041834525928,0.122601815,0.7034533,0.07262808379316549,1.0,0.1
7,0.10348814,0.24709469,0.07755198413373819,0.1447722,0.995653,0.0677041834525928,0.124130175,0.62137383,0.07262808379316549,1.0,0.4
3,0.12522541,0.35296547,0.07755198413373819,0.20818229,1.2861825,0.0677041834525928,0.16670385,0.819574,0.07262808379316549,0.5,0.4
1,0.123246364,0.32773325,0.07755198413373819,0.2195896,1.2298522,0.0677041834525928,0.17141798,0.77879274,0.07262808379316549,0.5,0.2
0,0.12418292,0.3582656,0.07755198413373819,0.22009626,1.2827104,0.0677041834525928,0.17213959,0.82048804,0.07262808379316549,0.5,0.1
2,0.1231847,0.33981934,0.07755198413373819,0.23585194,1.3969232,0.0677041834525928,0.17951833,0.86837125,0.07262808379316549,0.5,0.3
