,x,x_,ukf_['x'],y,y_,ukf_['y'],rmse,mape,ukf_rmse,past_temporal_horizon,future_temporal_horizon
23,0.1285825,0.8219093,0.19774844080516313,0.09088801,0.3809285,0.13180768296856402,0.10973526,0.6014189,0.16477806188686356,5.0,0.4
22,0.13032277,0.7095049,0.19774844080516313,0.09624376,0.39381635,0.13180768296856402,0.11328326,0.55166066,0.16477806188686356,5.0,0.3
19,0.14106184,0.81382185,0.19774844080516313,0.09714169,0.44971922,0.13180768296856402,0.11910176,0.63177055,0.16477806188686356,4.0,0.4
18,0.14032239,0.9320574,0.19774844080516313,0.10117204,0.46263677,0.13180768296856402,0.12074721,0.69734704,0.16477806188686356,4.0,0.3
21,0.13220125,0.72231203,0.19774844080516313,0.14539324,0.46229717,0.13180768296856402,0.13879725,0.5923046,0.16477806188686356,5.0,0.2
17,0.13989118,0.81304896,0.19774844080516313,0.16397698,0.65130824,0.13180768296856402,0.15193409,0.73217857,0.16477806188686356,4.0,0.2
16,0.14596885,0.97004324,0.19774844080516313,0.16082972,0.5204315,0.13180768296856402,0.15339929,0.74523735,0.16477806188686356,4.0,0.1
15,0.2042527,0.5447374,0.19774844080516313,0.10500873,0.77314335,0.13180768296856402,0.15463072,0.6589404,0.16477806188686356,3.0,0.4
14,0.20294946,0.84052694,0.19774844080516313,0.11759341,0.69999987,0.13180768296856402,0.16027144,0.77026343,0.16477806188686356,3.0,0.3
20,0.15023047,0.9799588,0.19774844080516313,0.17072181,0.52116036,0.13180768296856402,0.16047615,0.75055957,0.16477806188686356,5.0,0.1
13,0.20874585,0.76270884,0.19774844080516313,0.13908438,0.55097926,0.13180768296856402,0.17391512,0.656844,0.16477806188686356,3.0,0.2
12,0.19859435,0.89767927,0.19774844080516313,0.18344067,0.6549572,0.13180768296856402,0.19101751,0.7763182,0.16477806188686356,3.0,0.1
11,0.2353066,0.74504113,0.19774844080516313,0.15498248,0.7965675,0.13180768296856402,0.19514453,0.7708043,0.16477806188686356,2.0,0.4
9,0.2352694,0.83011156,0.19774844080516313,0.18153098,0.8337438,0.13180768296856402,0.20840019,0.83192766,0.16477806188686356,2.0,0.2
10,0.24845342,0.9219399,0.19774844080516313,0.17198399,0.86660284,0.13180768296856402,0.2102187,0.8942714,0.16477806188686356,2.0,0.3
8,0.23640293,0.9183071,0.19774844080516313,0.20795432,0.9587666,0.13180768296856402,0.22217862,0.9385369,0.16477806188686356,2.0,0.1
4,0.28590277,1.0445272,0.19774844080516313,0.31966174,1.6720071,0.13180768296856402,0.30278224,1.3582671,0.16477806188686356,1.0,0.1
5,0.29476327,0.9530039,0.19774844080516313,0.32274678,2.1655493,0.13180768296856402,0.30875504,1.5592766,0.16477806188686356,1.0,0.2
6,0.28866893,1.1756961,0.19774844080516313,0.32941297,2.003169,0.13180768296856402,0.30904096,1.5894326,0.16477806188686356,1.0,0.3
7,0.29366553,1.253352,0.19774844080516313,0.34272084,2.170371,0.13180768296856402,0.3181932,1.7118616,0.16477806188686356,1.0,0.4
1,0.37283877,1.710229,0.19774844080516313,0.61256707,2.5030775,0.13180768296856402,0.4927029,2.1066532,0.16477806188686356,0.5,0.2
3,0.37626505,1.6084633,0.19774844080516313,0.63044715,2.670395,0.13180768296856402,0.5033561,2.139429,0.16477806188686356,0.5,0.4
2,0.36695746,1.6392541,0.19774844080516313,0.6549158,2.4852355,0.13180768296856402,0.5109366,2.062245,0.16477806188686356,0.5,0.3
0,0.38412455,1.7966721,0.19774844080516313,0.68693364,1.7955378,0.13180768296856402,0.5355291,1.7961049,0.16477806188686356,0.5,0.1
